Name,Rating,Winery,Area,Province,Country,Varietal,Vintage,Style,Wine Type,ID
La Marca Prosecco,83.16585954666668,La Marca Vini E Spumanti,Oderzo,,Italy,,nv,,White,5e94dee25fd8fd7ae861da2d
Mighty Oak Red Blend,83.16464886666665,White Oak Vineyards,Napa Valley,,USA,Cabernet Sauvignon Merlot Syrah Zinfandel,2012,,Red,555395ef5840130300000030
Mission Hill Five Vineyards Cabernet-Merlot 2014,83.13019953103448,Mark Anthony Cellars - VQA,Okanagan Valley,British Columbia,Canada,"Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot",2014,,Red,5e94df7c5fd8fd7ae861e943
F,83.05631553333333,Locations Wine,Rhone & Bordeaux,,France,"Grenache, Syrah, Bordeaux Varietals",nv,,Red,5e94e597647e147bcfa8d893
Mr. Burgess,83.04515727999998,The Withers,El Dorado,,USA,"Syrah, Grenache, Mourvedre",2013,,Red,5e94def25fd8fd7ae861db77
Buena Vista Sonoma Chardonnay,83.03939805714285,Buena Vista Winery,Sonoma,,USA,Chardonnay,2011,,White,5421c493c2546a0200000002
Opus one Cabernet Sauvignon 2012,83.03515727999999,Opus One,Napa Valley,,USA,Cabernet Sauvignon,2012,,Red,57deaa63849a2ecd5465b525
Cuvee Valpierre,83.02929773333334,Montalcour,Rhone Valley,,France,"Grenache, Syrah",2013,,Red,55ca93ff219af80300000067
Hawk,83.02515728,2 Hawk Vineyard and Winery,Oregon,,USA,Tempranillo,2012,,Red,57a68c26a0f96d2f06783405
Billecart-Salmon Champagne Brut Rose,83.01515728,Billecart-Salmon,,Champagne,France,Champagne Blend,nv,Sparkling,Rose,5ad77d38128caabb7db026a1
"Vinemark Cellars, LLC",83.01515728,"Vinemark Cellars, LLC",Paso Robles,CA,USA,Primitivo,2013,,Red,5564efe1b4f0c10300000092
Chateau Fombrauge,83.01515728,Chateau Fombrauge,Saint-Emilion,,France,"Merlot, Cabernet Franc, Cabernet Sauvignon",2005,,Red,539de3050f7dc3020000000c
Carnivor,83.00842071111111,E & J Gallo Winery,California,California,USA,Cabernet Sauvignon,2012,,Red,5467feebaba01b0200000017
Greco di Tufo Feudi di San Gregorio,82.9782233,Feudi di San Gregorio,Campania,,Italy,100% Greco di Tufo,2015,,White,5e94def05fd8fd7ae861db45
Dragon Stone,82.9709644,Leitz,Rheingau,,Germany,Riesling,2015,,White,57a1214e88383b595ae62fd7
Hourglass HG3 Red Blend 2018,82.93515728,Hourglass Wine,Napa Valley,California,USA,"Merlot, Petite Sirah,Cabernet Sauvignon",2018,,Red,5faee7a63829c429a07a9724
Dominus,82.93515728,Dominus Estate  $275,Napa Valley,California,USA,"Cabernet Sauvignon, Petit Verdot",nv,,Red,535a60097dd3dc0200004854
Canoe Ridge Estate,82.91263106666668,Chateau Ste. Michelle,Columbia Valley,Washington,USA,Merlot,2012,,Red,55ca2ddbca5c7d0300000012
RS Chalk Hill,82.91263106666666,Rodney Strong Vineyards,Sonoma County,,USA,Chardonnay,2014,,White,58f95425475b3420268ffee0
Chateau La Louviere,82.87515728,La Louviere,Pessac-Leognan,,France,"Sauvignon Blanc, Semillon",2010,,White,54efcedeff3a0e0300000013
Terrasses Cheateau Pesquie,82.86714665263158,Rhone Valley Vineyards,Rhone Valley,,France,"Grenache, Syrah",2016,,Red,5e94dede5fd8fd7ae861d9c1
Imagery Cabernet Sauvignon 2017,82.86199071304348,Imagery Estate Winery,California,,USA,Cabernet Sauvignon,2017,,Red,5e94dee25fd8fd7ae861da37
Cipes Brut Rose,82.85571756363636,Summerhill Pyramid Winery,Okanagan Valley,,Canada,,nv,,Rose,5e94def55fd8fd7ae861dbcf
Vinoscenti Pinot Noir,82.85429773333334,Vinoscenti Vineyards,Surrey,British Columbia,Canada,Pinot Noir,2013,,Red,594ec5c363d29c463902352c
Mayacaba Malbec,82.83515728,Mi Terruño,Mendoza,,Argentina,Malbec,2009,,Red,542358327bbaab020000002f
Stella Rosa Platinum,82.82515728000001,San Antonio Winery,Italy,,Italy,White Blend,nv,,White,5564efe1b4f0c10300000044
Covert Farms Organic 'Amicitia' 2015,82.80135717894736,Covert Farms Family Estate,"Oliver, Okanagan Valley",,Canada,"Merlot, Cabernet Sauvignon, Cabernet Franc, Petit Verdot",2015,,Red,5e94deed5fd8fd7ae861daff
Old Vine Zinfandel,82.77515728,Sineann,Columbia Valley,,USA,Zinfandel,2014,,Red,57c4c49946d30ba118ec2b45
Pinot Grigio,82.77096439999998,Jermann,"Ruttars Collio DOC, Friuli-Venezia Giulia",,Italy,Pinot Gris,nv,,White,5e94e599647e147bcfa8d8bf
Laya Red 2016,82.73456125714286,Bodegas Atalaya,Almansa,,Spain,"Grenache Tintorera, Monastrell",2016,,Red,5e94deec5fd8fd7ae861daef
Meiomi Pinot Noir 2017,82.721031456,Meiomi Wines,California,,USA,Pinot Noir,2017,,Red,5e94dee05fd8fd7ae861da05
Meiomi Chardonnay 2017,82.70579431851853,Meiomi Wines,"Monterey, Sonoma, Santa Barbara",,USA,Chardonnay,2017,,White,5e94ded65fd8fd7ae861d8f7
Wild Goose,82.6973096,Wild Goose Vineyards,Okanagan Valley,,Canada,Riesling,2013,,White,53e6bcd803b30b0200000003
Les Darons Rouge,82.6965409142857,Les Darons,Languedoc,,France,"Grenache, Carignan, Syrah",2014,,Red,563ccf6dd39cca0300000004
Chianti Classico Riserva,82.6959644,Villa Calcinaia,Tuscany,,Italy,"85% Sangiovese, 5% Canaiolo, 5% Teroldego, 5% Montepulciano",2014,,Red,5e94def15fd8fd7ae861db67
The Factor,82.68939805714285,Torbreck Vintners,Barossa Valley,,Australia,Syrah,2012,,Red,571fa4ea74f654e102d27557
The Ned Sauvignon Blanc,82.68939805714285,Marisco Vineyard,Marlborough,,New Zealand,Sauvignon Blanc,2014,,White,559c688c8dceaf030000001b
Charles&Charles Red Blend,82.68515728,Charles Smith Wines,Columbia Valley,Washington,USA,"Cabernet Sauvignon, Syrah",2014,,Red,56bcbf771f99370300f80c09
Lyric Velvety Red,82.66947357037036,Mission Hill Family Estate,Okanagan Valley,,Canada,Red Blend,2016,,Red,5e94def85fd8fd7ae861dc0b
